840: [2, 6.1802660620003484]
841: [2, 6.269073864506747]
842: [2, 6.5393253412715735]
843: [2, 6.924932835774793]
844: [2, 7.3703896479961255]
845: [2, 7.716433251704612]
846: [2, 8.165217442858184]
847: [2, 8.574795046127448]
848: [2, 8.92581497531669]
849: [2, 9.142139089290401]
850: [2, 9.357739662513879]
851: [2, 9.477245039068274]
852: [2, 9.483377736655319]
853: [2, 9.40155886642031]
854: [2, 9.159571699679512]
855: [2, 8.745153685114854]
856: [2, 8.140240253900801]
857: [2, 7.556974033888696]
858: [2, 6.6154651174805155]
859: [2, 5.521210004523541]
860: [2, 4.341031482492096]
861: [2, 3.467551435306643]
862: [2, 2.4936612358277745]
863: [2, 1.8860934234532105]
864: [2, 1.6809914122650051]
865: [2, 1.7946295246726223]
866: [2, 2.306223853425374]
867: [2, 3.1623603404191307]
868: [2, 4.094043616457949]
869: [2, 4.869654916254922]
870: [2, 6.064753028855388]
871: [2, 7.394522402967836]
872: [2, 8.81854405419454]
873: [2, 9.9312014392194]
874: [2, 11.448297378987528]
875: [2, 12.984389664644599]
876: [2, 14.521437764850711]
877: [2, 15.664039321011941]
878: [2, 17.160255647860346]
879: [2, 18.61975031429538]
880: [2, 20.0305245129474]
881: [2, 21.04673849783562]
882: [2, 22.341145023234724]
883: [2, 23.555411199099737]
884: [2, 24.681892825521278]
885: [2, 25.485501836051235]
886: [2, 26.543354956880705]
887: [2, 27.564966136353227]
888: [2, 28.644658206212718]
889: [2, 29.653067535155703]
890: [2, 30.91253048384522]
891: [2, 32.100029045462115]
892: [2, 33.211539725822185]
893: [2, 33.99358906014721]
894: [1, 22.407278619382144]
895: [1, 23.089088535556463]
896: [1, 23.711341271771442]
897: [1, 24.139386981563753]
898: [1, 24.66001405088742]
899: [1, 25.127015331906513]
900: [1, 25.544349093873617]
901: [1, 25.826758476872744]
902: [1, 26.164942239983016]
903: [1, 26.46196084591252]
904: [1, 26.782924788171997]
905: [1, 27.049350790864157]
906: [1, 27.440536273778267]
907: [1, 27.877064590253205]
908: [1, 28.267632754700564]
909: [1, 28.532305908360406]
910: [1, 28.850205764727985]
911: [1, 29.131220637353568]
912: [1, 29.378726230682524]
913: [1, 29.54434563026858]
914: [0, 0]
915: [0, 0]
916: [0, 0]
917: [0, 0]
918: [0, 0]
919: [0, 0]
920: [0, 0]
921: [0, 0]
922: [0, 0]
923: [0, 0]
924: [0, 0]
925: [0, 0]
926: [0, 0]
927: [0, 0]
928: [0, 0]
929: [0, 0]
930: [0, 0]
931: [0, 0]
932: [0, 0]
933: [0, 0]
934: [0, 0]
935: [0, 0]
936: [0, 0]
937: [0, 0]
938: [1, 0.0]
939: [1, 1.2831521064313332]
940: [1, 2.7444335042850727]
941: [1, 3.872943248621825]
942: [1, 5.379727553210144]
943: [1, 6.8558611759858685]
944: [1, 8.261775147883561]
945: [1, 9.240561168544682]
946: [1, 10.398089837706763]
947: [1, 11.331574841066669]
948: [1, 11.989522467338425]
949: [1, 12.284253476187374]
950: [1, 12.415325291564345]
951: [1, 12.285903084840129]
952: [1, 11.970195480356226]
953: [1, 11.664937435725797]
954: [1, 11.232311046578412]
955: [1, 10.820713068912521]
956: [1, 10.447297515360018]
957: [1, 10.1788531665398]
958: [1, 9.790490649776403]
959: [1, 9.29208454461965]
960: [1, 8.594439257782525]
961: [1, 7.898310384137527]
962: [1, 6.727498976620809]
963: [1, 5.3416716805907525]
964: [1, 3.882845739583629]
965: [1, 2.8469360405527944]
966: [1, 1.6881042681028715]
967: [1, 0.8576554937964991]
968: [1, 0.32973726217899085]
969: [1, 0.09056743370561897]
970: [1, 0.0]
971: [1, 0.0]
972: [2, 0.18153524497669882]
973: [2, 0.8025901075589535]
974: [2, 1.6949235271596663]
975: [2, 2.6105346973389443]
976: [2, 3.52835494846771]
977: [2, 4.206240695979768]
978: [2, 5.074879468953378]
979: [2, 5.862068832890292]
980: [2, 6.501319779146584]
981: [2, 6.833523641576221]
982: [2, 7.012135134255822]
983: [2, 6.832158769192144]
984: [2, 6.2809959268319115]
985: [2, 5.655497356350011]
986: [2, 4.630150874096181]
987: [2, 3.523471945016778]
988: [2, 2.48051460327398]
989: [2, 1.8059074347305215]
990: [2, 1.095185480177117]
991: [2, 0.6026923728103057]
992: [2, 0.29367571971199574]
993: [2, 0.15197327522513998]
994: [2, 0.04450725264769771]
995: [2, 0.0]
996: [2, 0.0]
997: [2, 0.0]
998: [2, 0.0]
999: [2, 0.0]
1000: [2, 0.0]
1001: [2, 0.0]
1002: [2, 0.0]
1003: [2, 0.0]
1004: [2, 0.0]
1005: [2, 0.0]
1006: [2, 0.0]
1007: [2, 0.0]
1008: [2, 0.0]
1009: [2, 0.0]
1010: [2, 0.0]
1011: [2, 0.0]
1012: [2, 0.0]
1013: [2, 0.0]
1014: [2, 0.0]
1015: [2, 0.0]
1016: [2, 0.0]
1017: [2, 0.0]
1018: [2, 0.012012459084039577]
1019: [2, 0.11856016113005584]
1020: [2, 0.32795290656767534]
1021: [2, 0.5453414170431274]
1022: [2, 0.9049707233893228]
1023: [2, 1.3324194801123002]
1024: [2, 1.8464558063934537]
1025: [2, 2.299535899991157]
1026: [2, 2.994149846441984]
1027: [2, 3.790759127772228]
